employee_id,attrition_flag,predicted_prob,risk_band,job_role,department,tenure_months,performance_rating,engagement_score,manager_support_score,growth_opportunity_score,training_hours,training_count
197,0,0.15238783858847466,Low,Research Scientist,Research & Development,36,3,1,4,4,6,3
198,0,0.17298694724719138,Low,Laboratory Technician,Research & Development,60,3,4,4,2,6,3
199,0,0.08827171230835375,Low,Manager,Research & Development,84,3,1,2,4,4,2
200,0,0.29816595669506907,Low,Laboratory Technician,Research & Development,60,4,1,4,3,4,2
201,0,0.30381044173224764,Low,Laboratory Technician,Research & Development,12,3,2,4,2,6,3
202,0,0.14867640692488826,Low,Research Scientist,Research & Development,240,3,2,1,2,4,2
204,0,0.18162077547480576,Low,Sales Executive,Sales,120,3,2,1,3,6,3
205,0,0.32016102174038696,Low,Sales Representative,Sales,84,4,3,4,2,6,3
206,0,0.2130033377254959,Low,Laboratory Technician,Research & Development,204,3,2,3,2,4,2
207,0,0.13108868745578986,Low,Sales Executive,Sales,108,3,4,4,2,4,2
208,0,0.06278505748694921,Low,Manufacturing Director,Research & Development,120,3,3,1,4,2,1
211,0,0.10667194004544761,Low,Manufacturing Director,Research & Development,12,3,3,3,2,4,2
214,0,0.24353659023968258,Low,Research Scientist,Research & Development,12,4,2,2,2,6,3
215,0,0.12214467115330435,Low,Sales Executive,Sales,144,3,4,1,3,4,2
216,0,0.2944687183810915,Low,Sales Representative,Sales,48,3,3,4,3,6,3
217,0,0.08267396768626234,Low,Research Scientist,Research & Development,24,4,4,1,3,12,6
218,0,0.16877799106973423,Low,Research Scientist,Research & Development,24,3,2,4,4,2,1
221,0,0.11195846150814698,Low,Research Scientist,Research & Development,60,3,4,3,3,4,2
223,0,0.07867568654006693,Low,Healthcare Representative,Research & Development,60,3,4,2,3,4,2
224,0,0.15193709572769826,Low,Research Scientist,Research & Development,12,3,3,4,3,4,2
226,0,0.059588977205520366,Low,Manager,Research & Development,60,3,2,2,3,10,5
227,0,0.22786119642490102,Low,Research Scientist,Research & Development,108,3,3,1,1,4,2
228,0,0.13854595399361816,Low,Sales Executive,Sales,120,3,4,3,2,4,2
230,0,0.18718736730186333,Low,Sales Executive,Sales,96,4,4,3,1,4,2
231,0,0.17018207771884689,Low,Research Scientist,Research & Development,60,4,3,1,3,4,2
233,0,0.14052493588481416,Low,Research Scientist,Research & Development,60,3,2,4,3,6,3
235,1,0.46032851525829915,Medium,Sales Representative,Sales,0,4,1,1,3,10,5
238,0,0.168441774383829,Low,Laboratory Technician,Research & Development,96,3,2,3,4,6,3
239,0,0.1953822869684922,Low,Laboratory Technician,Research & Development,144,3,1,3,3,8,4
240,0,0.2699764232030179,Low,Sales Executive,Sales,60,3,1,1,3,6,3
241,0,0.2168729397707431,Low,Research Scientist,Research & Development,24,3,1,3,3,6,3
242,0,0.14774854539390747,Low,Research Scientist,Research & Development,36,3,4,1,3,4,2
243,1,0.21901616144632002,Low,Laboratory Technician,Research & Development,12,4,4,3,2,6,3
244,0,0.15623595321434602,Low,Sales Executive,Sales,288,4,1,3,2,4,2
245,0,0.17040191433342344,Low,Laboratory Technician,Research & Development,24,3,4,3,3,6,3
246,0,0.15632060394472647,Low,Research Scientist,Research & Development,48,4,4,3,3,0,0
247,0,0.12042894721000212,Low,Research Scientist,Research & Development,36,3,2,4,4,6,3
248,1,0.33534965567962993,Medium,Sales Representative,Sales,48,4,2,4,2,10,5
249,0,0.21476152532508908,Low,Laboratory Technician,Research & Development,36,3,3,4,3,4,2
250,0,0.08001751965719289,Low,Manufacturing Director,Research & Development,48,3,1,3,4,6,3
252,0,0.07089233834670526,Low,Research Scientist,Research & Development,96,3,2,4,4,10,5
253,0,0.029334504341075016,Low,Manager,Research & Development,240,3,3,2,4,4,2
254,0,0.014934664461627303,Low,Research Director,Research & Development,288,3,2,4,3,6,3
256,0,0.043123516744384416,Low,Manufacturing Director,Research & Development,120,3,3,3,4,4,2
258,0,0.043596807952523936,Low,Healthcare Representative,Research & Development,84,3,2,3,4,12,6
259,0,0.014008192808488466,Low,Manager,Research & Development,396,3,3,1,3,10,5
260,0,0.11859551304964819,Low,Research Scientist,Research & Development,84,3,2,4,4,4,2
261,1,0.1507430005684116,Low,Manufacturing Director,Research & Development,12,3,3,1,2,2,1
262,0,0.06732986646249582,Low,Research Scientist,Research & Development,60,3,4,4,4,6,3
264,0,0.04686946829915118,Low,Manager,Research & Development,240,4,4,4,1,2,1
267,0,0.25464993857249907,Low,Research Scientist,Research & Development,96,3,1,1,2,6,3
269,0,0.1956187313691934,Low,Laboratory Technician,Research & Development,72,3,2,4,2,10,5
270,0,0.04758078026940133,Low,Manufacturing Director,Research & Development,60,3,3,2,3,10,5
271,0,0.06109434317945625,Low,Manufacturing Director,Research & Development,12,3,3,2,4,6,3
302,0,0.05149347341366558,Low,Sales Executive,Sales,228,3,4,4,4,4,2
273,0,0.03996325426479474,Low,Manufacturing Director,Research & Development,84,3,4,1,4,6,3
274,0,0.15088967812683599,Low,Manufacturing Director,Research & Development,24,3,1,3,3,2,1
275,0,0.06541179342477468,Low,Manufacturing Director,Research & Development,84,3,4,1,4,0,0
277,0,0.07383153817122491,Low,Research Scientist,Research & Development,60,3,3,4,4,8,4
281,0,0.16139816883027117,Low,Laboratory Technician,Research & Development,84,3,4,3,3,4,2
282,1,0.23505922676115149,Low,Healthcare Representative,Research & Development,12,3,1,2,2,4,2
283,1,0.1070475043490409,Low,Sales Executive,Sales,120,4,4,4,2,6,3
284,0,0.17828403616714786,Low,Research Scientist,Research & Development,48,3,2,1,4,4,2
286,0,0.23155353568080828,Low,Laboratory Technician,Research & Development,96,3,4,1,2,4,2
287,0,0.03290312787529934,Low,Healthcare Representative,Research & Development,36,3,4,4,4,10,5
288,0,0.1040290120202184,Low,Healthcare Representative,Research & Development,48,3,1,3,4,6,3
291,1,0.07152163698432061,Low,Sales Executive,Sales,168,3,4,3,4,4,2
292,0,0.0529729454341859,Low,Manufacturing Director,Research & Development,132,4,3,3,3,4,2
293,0,0.11212913890528556,Low,Sales Executive,Sales,84,3,3,4,4,4,2
296,0,0.02671410955429598,Low,Research Director,Research & Development,120,3,2,4,2,10,5
297,1,0.11444616611861726,Low,Research Scientist,Research & Development,60,3,1,3,4,10,5
298,0,0.041054657545402336,Low,Manager,Sales,12,3,4,3,4,6,3
299,1,0.1663095161902182,Low,Sales Executive,Sales,72,3,1,3,3,10,5
300,1,0.14373995416220828,Low,Research Scientist,Research & Development,72,3,3,4,3,2,1
303,0,0.13905470871661732,Low,Sales Executive,Sales,72,3,1,4,4,8,4
304,0,0.12492481568829056,Low,Laboratory Technician,Research & Development,156,3,2,4,4,6,3
305,0,0.15127210643784209,Low,Research Scientist,Research & Development,36,4,2,4,3,6,3
306,0,0.03436218995035202,Low,Research Director,Research & Development,120,3,4,3,2,2,1
307,0,0.09440155427292451,Low,Sales Executive,Sales,192,3,3,3,1,12,6
656,0,0.1256316371618973,Low,Sales Executive,Sales,36,3,3,3,4,6,3
308,0,0.06296294927691225,Low,Manufacturing Director,Research & Development,60,3,3,4,3,4,2
309,0,0.08707634138701523,Low,Research Scientist,Research & Development,12,3,4,1,3,12,6
311,0,0.3649059612575339,Medium,Sales Representative,Sales,108,3,4,3,1,4,2
312,0,0.07541855788846964,Low,Sales Executive,Sales,132,3,4,4,2,10,5
314,0,0.1445768507584132,Low,Sales Executive,Sales,120,3,3,1,3,6,3
315,1,0.10007093704694225,Low,Research Scientist,Research & Development,48,3,4,3,3,6,3
316,0,0.1867636840741175,Low,Laboratory Technician,Research & Development,24,3,4,2,3,6,3
319,0,0.01815352344580175,Low,Manager,Research & Development,264,3,4,4,3,6,3
321,0,0.2371458085269038,Low,Human Resources,Human Resources,24,3,3,4,2,4,2
323,0,0.031162875586697884,Low,Manager,Sales,84,3,4,3,4,6,3
325,1,0.17471848536042456,Low,Laboratory Technician,Research & Development,60,3,4,3,3,4,2
327,0,0.019408040688896924,Low,Manager,Sales,204,4,4,3,4,6,3
328,1,0.41591572562019014,Medium,Laboratory Technician,Research & Development,108,4,1,1,1,6,3
329,0,0.028645134462252073,Low,Manager,Sales,396,3,3,4,1,4,2
330,0,0.3513770245020042,Medium,Sales Representative,Sales,48,3,2,1,3,10,5
331,1,0.17232906070704548,Low,Laboratory Technician,Research & Development,36,3,3,4,4,4,2
332,0,0.2666565200849032,Low,Laboratory Technician,Research & Development,36,3,3,3,3,2,1
333,0,0.17604637349909083,Low,Sales Executive,Sales,36,3,4,1,3,4,2
334,0,0.301552375473117,Low,Research Scientist,Research & Development,12,3,1,1,3,4,2
335,0,0.158956829556176,Low,Research Scientist,Research & Development,108,3,4,1,1,6,3
336,0,0.021858233904313042,Low,Manager,Research & Development,288,3,4,3,3,4,2
337,0,0.05703322518369986,Low,Research Director,Research & Development,24,3,3,1,2,6,3
338,0,0.1269808741564693,Low,Research Scientist,Research & Development,24,3,4,3,3,4,2
339,0,0.06512520763080405,Low,Manufacturing Director,Research & Development,132,3,1,2,4,6,3
340,0,0.28186495777189186,Low,Research Scientist,Research & Development,36,3,1,1,3,4,2
341,0,0.1316829858894586,Low,Manufacturing Director,Research & Development,36,3,3,4,1,2,1
342,1,0.09445196060704454,Low,Manufacturing Director,Research & Development,12,3,3,2,1,10,5
343,0,0.05144975267411592,Low,Healthcare Representative,Research & Development,228,4,3,4,3,2,1
346,0,0.15159612983018975,Low,Research Scientist,Research & Development,72,3,4,1,3,2,1
347,0,0.2213209027757303,Low,Research Scientist,Research & Development,36,3,1,3,4,2,1
349,0,0.10424444244842493,Low,Sales Executive,Sales,36,3,4,4,4,4,2
350,0,0.09277433785319246,Low,Manufacturing Director,Research & Development,48,3,3,4,1,6,3
351,0,0.1757820370487871,Low,Laboratory Technician,Research & Development,108,3,1,3,4,8,4
352,0,0.015995274778575947,Low,Research Director,Research & Development,252,3,3,4,1,10,5
353,0,0.1943082456411245,Low,Research Scientist,Research & Development,12,3,4,2,3,0,0
355,1,0.2898352134399503,Low,Laboratory Technician,Research & Development,60,3,2,2,3,4,2
359,0,0.2855134756971144,Low,Laboratory Technician,Research & Development,60,4,2,3,2,6,3
120,0,0.0978973586283508,Low,Sales Executive,Sales,120,4,4,4,3,4,2
361,0,0.11478126065202532,Low,Sales Executive,Sales,96,3,4,4,4,0,0
362,0,0.15616721408235687,Low,Laboratory Technician,Research & Development,72,3,1,4,4,10,5
363,0,0.08830153845777447,Low,Manager,Sales,84,3,2,2,3,4,2
364,1,0.2658088007051331,Low,Laboratory Technician,Research & Development,0,3,3,3,1,10,5
366,0,0.3961005510246258,Medium,Sales Executive,Sales,0,3,2,2,1,4,2
367,0,0.0841394901118016,Low,Healthcare Representative,Research & Development,108,4,4,2,2,4,2
369,0,0.16226768076452894,Low,Healthcare Representative,Research & Development,72,3,1,4,2,4,2
372,0,0.04010488062807447,Low,Healthcare Representative,Research & Development,240,3,4,2,3,4,2
373,0,0.06609573635830539,Low,Laboratory Technician,Research & Development,180,3,4,3,4,8,4
374,0,0.02127817117228665,Low,Manager,Research & Development,432,3,1,3,4,4,2
376,1,0.10384371163999959,Low,Manager,Research & Development,120,3,2,4,1,4,2
377,0,0.06676473750149711,Low,Research Scientist,Research & Development,60,4,4,4,4,6,3
378,0,0.09364742395917441,Low,Sales Executive,Sales,60,3,4,2,3,10,5
379,0,0.10917990106710891,Low,Research Scientist,Research & Development,36,3,3,1,4,8,4
380,0,0.058701582116075804,Low,Research Director,Research & Development,60,3,4,1,1,4,2
381,0,0.059826740835025344,Low,Manager,Research & Development,84,3,2,2,2,12,6
382,0,0.30481925989234826,Low,Sales Executive,Sales,96,4,1,3,1,6,3
384,0,0.05507101913627759,Low,Manufacturing Director,Research & Development,72,4,2,1,3,12,6
385,0,0.0565338344440501,Low,Research Director,Research & Development,120,3,2,1,1,8,4
386,0,0.019794967574999947,Low,Research Director,Research & Development,60,3,3,4,3,10,5
387,0,0.09851433187332392,Low,Sales Executive,Sales,240,4,3,3,2,6,3
388,0,0.14462268403497192,Low,Sales Executive,Sales,120,3,4,1,2,6,3
389,0,0.12173630677476133,Low,Laboratory Technician,Research & Development,120,3,4,4,2,8,4
390,0,0.2005848821727823,Low,Healthcare Representative,Research & Development,60,3,1,3,1,6,3
391,0,0.04847035859418679,Low,Research Scientist,Research & Development,204,3,4,2,4,6,3
392,1,0.24295871804074884,Low,Laboratory Technician,Research & Development,12,4,3,4,4,0,0
393,0,0.06976797441166652,Low,Healthcare Representative,Research & Development,24,3,4,2,4,4,2
394,1,0.38258799417984674,Medium,Laboratory Technician,Research & Development,36,3,2,4,1,4,2
395,0,0.06676473750149711,Low,Research Scientist,Research & Development,60,4,4,4,4,6,3
396,0,0.04356085650900103,Low,Research Director,Research & Development,36,3,1,4,3,8,4
397,0,0.14421623927344424,Low,Research Scientist,Research & Development,96,3,2,4,3,4,2
399,0,0.26626866770400154,Low,Sales Representative,Sales,24,3,2,3,4,10,5
401,1,0.13948201766291005,Low,Sales Executive,Sales,96,3,4,2,4,0,0
403,0,0.12745109263012175,Low,Research Scientist,Research & Development,48,3,4,3,2,6,3
404,0,0.10493273626885759,Low,Sales Executive,Sales,240,3,2,4,3,4,2
405,1,0.2607862983054396,Low,Laboratory Technician,Research & Development,0,3,3,3,3,4,2
406,0,0.14476442147124838,Low,Sales Executive,Sales,132,3,2,3,3,6,3
407,0,0.1864072336530729,Low,Laboratory Technician,Research & Development,12,3,4,4,3,4,2
408,0,0.05593034020175095,Low,Manufacturing Director,Research & Development,48,3,2,4,4,6,3
410,0,0.0348190664494762,Low,Manager,Sales,264,3,2,2,4,4,2
411,0,0.3898628714969122,Medium,Sales Representative,Sales,0,3,3,1,4,4,2
412,0,0.16449440117492792,Low,Healthcare Representative,Research & Development,96,3,1,3,2,4,2
416,0,0.1426190447029073,Low,Sales Executive,Sales,96,3,4,2,2,6,3
417,0,0.029655119273945336,Low,Healthcare Representative,Research & Development,216,3,4,1,3,10,5
419,0,0.24995234707488426,Low,Laboratory Technician,Research & Development,108,3,2,3,2,6,3
420,0,0.08190709196183354,Low,Sales Executive,Sales,156,3,3,3,4,6,3
421,0,0.06347537579307334,Low,Research Director,Research & Development,120,3,2,3,1,4,2
422,0,0.06392074439329459,Low,Healthcare Representative,Research & Development,60,3,3,4,4,4,2
423,0,0.08186328175948084,Low,Research Scientist,Research & Development,60,3,4,3,3,8,4
424,0,0.45569690263745855,Medium,Human Resources,Human Resources,24,3,1,4,1,2,1
425,0,0.2948022443774649,Low,Laboratory Technician,Research & Development,288,3,1,1,1,4,2
426,0,0.139876375518634,Low,Research Scientist,Research & Development,24,3,4,2,3,4,2
428,0,0.06007128966011888,Low,Manager,Research & Development,120,3,2,2,4,4,2
429,0,0.04205655452644655,Low,Manager,Research & Development,252,3,1,4,3,6,3
430,0,0.12005407830290224,Low,Laboratory Technician,Research & Development,96,3,4,1,3,10,5
431,0,0.07539548926522739,Low,Healthcare Representative,Research & Development,84,3,3,4,3,4,2
433,1,0.16532973291146386,Low,Research Scientist,Research & Development,96,3,2,1,3,6,3
434,0,0.2031260108937004,Low,Research Scientist,Research & Development,48,3,2,2,3,4,2
436,0,0.14064011089406495,Low,Sales Executive,Sales,156,3,2,4,3,4,2
437,0,0.14036605050478512,Low,Sales Executive,Sales,60,3,3,1,4,6,3
438,0,0.07483006196734973,Low,Sales Executive,Sales,84,3,4,4,4,6,3
439,0,0.21852252129555416,Low,Research Scientist,Research & Development,84,3,4,3,1,0,0
440,1,0.1314629401784185,Low,Research Scientist,Research & Development,36,3,4,4,1,8,4
441,0,0.06335634940570944,Low,Research Scientist,Research & Development,120,3,4,4,4,4,2
